antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'mode_discretize=major', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.14658385093167703,0.6509316770186335,0.07784679089026915,0.5310734463276836,0.8158666494156208,1.0,-0.01756928102053676,0.7443987128638779,-0.20914568433428038,0.10817031070195626,-0.34336610571606646,0.3253331608228749
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.13788819875776398,0.6509316770186335,0.07308488612836439,0.53003003003003,0.8142636911720881,1.0,-0.01667091033010558,0.7427460163117894,-0.20922785917411502,0.10211165750650852,-0.3463552520492022,0.3211536918597987
"frozenset({'speechiness_discretize=low_speechiness', 'loudness_discretize=high_loudness', 'mode_discretize=major', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.21884057971014492,0.6509316770186335,0.11842650103519668,0.5411542100283822,0.8313533188413122,1.0,-0.02402376451525791,0.7607530255490811,-0.206152863749189,0.1576191788371452,-0.31448704956281975,0.36154402613378395
"frozenset({'loudness_discretize=high_loudness', 'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability', 'mode_discretize=major'})",frozenset({'popularity_label=low'}),0.21304347826086956,0.6509316770186335,0.10869565217391304,0.5102040816326531,0.7838058887677208,1.0,-0.029981096408317573,0.7126811594202899,-0.25953199149075434,0.14391447368421054,-0.4031520081342144,0.3385944072285403
"frozenset({'loudness_discretize=high_loudness', 'mode_discretize=major', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness'})",frozenset({'popularity_label=low'}),0.19233954451345756,0.6509316770186335,0.10372670807453416,0.5392895586652314,0.8284887303921972,1.0,-0.021473194192610873,0.7576740001160969,-0.2040224864347075,0.1402575587905935,-0.31982884439319814,0.3493203518516997
"frozenset({'loudness_discretize=high_loudness', 'mode_discretize=major', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration'})",frozenset({'popularity_label=low'}),0.16521739130434782,0.6509316770186335,0.09130434782608696,0.5526315789473685,0.8489855363599841,1.0,-0.016240885768295965,0.7802703690171722,-0.17565278345697755,0.12596401028277637,-0.28160704251732516,0.3464493772599438
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.1989648033126294,0.6509316770186335,0.1010351966873706,0.5078043704474506,0.7801193095614462,1.0,-0.028477296400601815,0.7092064659304297,-0.26028045585045684,0.13491844069670997,-0.4100266255864848,0.331510327717364
"frozenset({'speechiness_discretize=low_speechiness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'mode_discretize=major'})",frozenset({'popularity_label=low'}),0.18157349896480332,0.6509316770186335,0.09772256728778468,0.5381984036488027,0.8268124330864239,1.0,-0.02046937489551587,0.75588375124607,-0.20378058023064483,0.13299520991828684,-0.3229547511128606,0.3441628150559535
"frozenset({'mode_discretize=major', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.17556935817805383,0.6509316770186335,0.08923395445134576,0.5082547169811321,0.780811158721014,1.0,-0.02504970230057997,0.7098559661587501,-0.2540102163586923,0.12103341757933164,-0.40873648694017306,0.32267061548802156
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.16542443064182194,0.6509316770186335,0.08364389233954451,0.5056320400500626,0.7767820462601153,1.0,-0.024036109717989265,0.7060901014230678,-0.25613038195554655,0.11415654139587454,-0.4162498496786463,0.31706538389271577
"frozenset({'speechiness_discretize=low_speechiness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration', 'mode_discretize=major'})",frozenset({'popularity_label=low'}),0.1546583850931677,0.6509316770186335,0.08530020703933748,0.5515394912985275,0.8473078062887685,1.0,-0.015371834934351805,0.7783702604987487,-0.1757189813426472,0.11842483472262144,-0.28473562101311506,0.3412913741479915
"frozenset({'mode_discretize=major', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.1523809523809524,0.6509316770186335,0.07950310559006211,0.5217391304347826,0.8015267175572519,1.0,-0.01968648328896777,0.7298701298701299,-0.2260869565217392,0.10983981693363845,-0.3701067615658363,0.3219382675074676
"frozenset({'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'duration_ms_descretize=medium_duration', 'mode_discretize=major'})",frozenset({'popularity_label=low'}),0.13540372670807455,0.6509316770186335,0.07432712215320911,0.5489296636085627,0.843298433597124,1.0,-0.01381145274745059,0.7738667228129277,-0.17690115790687333,0.10439081128234952,-0.2922121736480678,0.3315577071223475
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.1422360248447205,0.6509316770186335,0.07391304347826087,0.519650655021834,0.7983182772759092,1.0,-0.018672890706377065,0.7266967814793902,-0.22751608763707978,0.10276338514680484,-0.37608976052463905,0.3166001366712224
"frozenset({'speechiness_discretize=low_speechiness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'duration_ms_descretize=medium_duration', 'mode_discretize=major'})",frozenset({'popularity_label=low'}),0.12712215320910972,0.6509316770186335,0.06977225672877847,0.5488599348534203,0.8431913121316859,1.0,-0.012975579645846974,0.7737471130345093,-0.1756346685635838,0.0985092078339667,-0.2924119304021232,0.32802411500940737
"frozenset({'mode_discretize=major', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.1246376811594203,0.6509316770186335,0.06438923395445134,0.516611295681063,0.7936490324871293,1.0,-0.01674138086236386,0.7221275959958164,-0.22900368579614036,0.09053857350800583,-0.3847968219812963,0.3077649353723381
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.11677018633540373,0.6509316770186335,0.06024844720496894,0.5159574468085106,0.7926445509176547,1.0,-0.015760966012113728,0.7211521397856802,-0.2285052688099872,0.08516242317822652,-0.38666994775497837,0.3042573493584538
"frozenset({'acousticness_discretize=low_acousticness', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.3064182194616977,0.6509316770186335,0.1701863354037267,0.5554054054054054,0.8532468537239529,1.0,-0.02927099005953987,0.7851384772225264,-0.19870451847196027,0.21620199894792214,-0.27366067134750405,0.4084278935423974
"frozenset({'acousticness_discretize=low_acousticness', 'danceability_discretize=medium_danceability', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=low'}),0.28612836438923395,0.6509316770186335,0.15734989648033126,0.5499276410998553,0.8448315860408082,1.0,-0.028900119594151452,0.775582672604901,-0.2046348546508804,0.201805629314923,-0.2893531989844004,0.39582896049903704
"frozenset({'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'acousticness_discretize=low_acousticness'})",frozenset({'popularity_label=low'}),0.2813664596273292,0.6509316770186335,0.1515527950310559,0.5386313465783664,0.8274775457931011,1.0,-0.03159754639095713,0.7565930636868852,-0.2248800149363557,0.19411296738265713,-0.32171446976660145,0.3857278870296412
"frozenset({'acousticness_discretize=low_acousticness', 'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.2685300207039337,0.6509316770186335,0.13830227743271223,0.515034695451041,0.7912269653398626,1.0,-0.036492419273947724,0.7197799919027542,-0.26509790830834895,0.17704744235356482,-0.38931341694630606,0.36375144441763246
"frozenset({'acousticness_discretize=low_acousticness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness'})",frozenset({'popularity_label=low'}),0.2492753623188406,0.6509316770186335,0.13788819875776398,0.553156146179402,0.849791407775608,1.0,-0.024373030875866425,0.7811863584936157,-0.19057942451714632,0.1808799565453558,-0.28010427873872373,0.3824941036240522
"frozenset({'acousticness_discretize=low_acousticness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration'})",frozenset({'popularity_label=low'}),0.2194616977225673,0.6509316770186335,0.12836438923395446,0.5849056603773585,0.8985669019155984,1.0,-0.014490181705952704,0.8409373235460192,-0.1263493107675747,0.17299107142857145,-0.18914926475525415,0.39105333909453166
"frozenset({'acousticness_discretize=low_acousticness', 'mode_discretize=major', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.17598343685300208,0.6509316770186335,0.09130434782608696,0.5188235294117647,0.7970475976650202,1.0,-0.023248845852140487,0.7254476149979499,-0.23606450349285119,0.12412046158176189,-0.3784592840694997,0.3295453524921419
"frozenset({'acousticness_discretize=low_acousticness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=low'}),0.26211180124223604,0.6509316770186335,0.13933747412008282,0.5315955766192733,0.8166687770582347,1.0,-0.03127940022890063,0.7452284939197469,-0.23326319908090246,0.18009098207118007,-0.3418703232081317,0.3728270503961506
"frozenset({'acousticness_discretize=low_acousticness', 'loudness_discretize=high_loudness', 'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.25507246376811593,0.6509316770186335,0.13064182194616977,0.5121753246753247,0.7868342297015961,1.0,-0.03539292465568458,0.7155610214859293,-0.2666904822197302,0.16849132176234982,-0.39750485279844705,0.35643753511119924
"frozenset({'acousticness_discretize=low_acousticness', 'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=low'}),0.24886128364389234,0.6509316770186335,0.12608695652173912,0.5066555740432612,0.7783544601237123,1.0,-0.035904736185589564,0.7075550155541357,-0.2748929299294077,0.16296494514316295,-0.4133176615486644,0.35017893205979855
"frozenset({'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.23643892339544514,0.6509316770186335,0.11904761904761904,0.5035026269702276,0.7735107150973917,1.0,-0.034857965870658286,0.7030617722129109,-0.2771826826523162,0.15494475882511452,-0.42235012558351154,0.3431953338413479
"frozenset({'acousticness_discretize=low_acousticness', 'liveness_discretize=low_liveness', 'danceability_discretize=medium_danceability', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=low'}),0.2349896480331263,0.6509316770186335,0.12877846790890268,0.5480176211453744,0.8418972996603558,1.0,-0.024183737767318664,0.7723051590328478,-0.19709551541151538,0.17008476893628657,-0.29482496433442545,0.37292738563630046
"frozenset({'acousticness_discretize=low_acousticness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness'})",frozenset({'popularity_label=low'}),0.22732919254658385,0.6509316770186335,0.12091097308488613,0.5318761384335156,0.817099792822481,1.0,-0.02706479945475354,0.7456751335282888,-0.22462431693989066,0.1596500820120284,-0.3410665785089678,0.35881338728291556
