antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'danceability_discretize=medium_danceability', 'acousticness_discretize=low_acousticness', 'tempo_discretize=fast_tempo', 'mode_discretize=major'})",frozenset({'popularity_label=high'}),0.09813664596273292,0.3490683229813665,0.04927536231884058,0.5021097046413503,1.4384281574245088,1.0,0.015018967889613315,1.307379724181493,0.3379632844873487,0.12382934443288243,0.23511128289367744,0.32163610973467277
"frozenset({'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.11366459627329192,0.3490683229813665,0.05755693581780538,0.5063752276867031,1.450647894262619,1.0,0.017880225814333295,1.3186770873919917,0.3504912958210867,0.14205416453755748,0.24166423337365642,0.3356312674613824
"frozenset({'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'speechiness_discretize=low_speechiness', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.10683229813664596,0.3490683229813665,0.054244306418219465,0.5077519379844961,1.4545918508096776,1.0,0.016952535267415095,1.3223651391402163,0.34990285489813033,0.1350515463917526,0.24377921770518965,0.33157466412866565
"frozenset({'liveness_discretize=low_liveness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.09254658385093167,0.3490683229813665,0.0474120082815735,0.5123042505592841,1.4676331733104044,1.0,0.015106927459074368,1.3347085304005926,0.3511263745296187,0.12027310924369747,0.2507727513363047,0.32406434354773217
"frozenset({'liveness_discretize=low_liveness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'speechiness_discretize=low_speechiness', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.08757763975155279,0.3490683229813665,0.04492753623188406,0.5130023640661939,1.4696331070223705,1.0,0.014356956393143269,1.3366218416450584,0.35023041474654376,0.11469344608879492,0.2518452348726834,0.32085468143997714
"frozenset({'duration_ms_descretize=medium_duration', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.07908902691511387,0.3490683229813665,0.039958592132505175,0.5052356020942409,1.4473831305546758,1.0,0.012351118141018223,1.3156396858260213,0.33564366123681366,0.10293333333333332,0.2399134726829464,0.3098538627315807
"frozenset({'duration_ms_descretize=medium_duration', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'speechiness_discretize=low_speechiness', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.07412008281573498,0.3490683229813665,0.037267080745341616,0.5027932960893855,1.440386488796994,1.0,0.011394107737613006,1.3091771931048921,0.33021765056648783,0.09656652360515021,0.2361614567785407,0.3047774309628422
"frozenset({'duration_ms_descretize=medium_duration', 'liveness_discretize=low_liveness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.06418219461697723,0.3490683229813665,0.033126293995859216,0.5161290322580645,1.4785902881414303,1.0,0.010722322955647286,1.3452587991718425,0.345879424778761,0.08714596949891068,0.25664860871706474,0.3055141009451651
"frozenset({'duration_ms_descretize=medium_duration', 'liveness_discretize=low_liveness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'speechiness_discretize=low_speechiness', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.06024844720496894,0.3490683229813665,0.031055900621118012,0.5154639175257733,1.476684888285578,1.0,0.010025076193048106,1.3434121844852651,0.34350297422339715,0.08210180623973727,0.2556268198630677,0.30221594452801115
"frozenset({'acousticness_discretize=low_acousticness', 'duration_ms_descretize=medium_duration', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.06542443064182195,0.3490683229813665,0.03354037267080745,0.5126582278481012,1.468647236361998,1.0,0.010702776384655936,1.3356779866096635,0.34143980045619376,0.08804347826086954,0.25131655232389594,0.30437181855038514
"frozenset({'acousticness_discretize=low_acousticness', 'duration_ms_descretize=medium_duration', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.06231884057971015,0.3490683229813665,0.03354037267080745,0.5382059800664452,1.5418356368451542,1.0,0.0117868394995049,1.4095714732561775,0.3747781784876065,0.08876712328767122,0.29056453044558844,0.3171456946595571
"frozenset({'acousticness_discretize=low_acousticness', 'duration_ms_descretize=medium_duration', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.060041407867494824,0.3490683229813665,0.033126293995859216,0.5517241379310345,1.5805620321511842,1.0,0.012167740442112576,1.4520783564261825,0.39077643171806176,0.08810572687224669,0.3113319294551197,0.3233116537816501
"frozenset({'acousticness_discretize=low_acousticness', 'duration_ms_descretize=medium_duration', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'speechiness_discretize=low_speechiness', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.05859213250517598,0.3490683229813665,0.031055900621118012,0.5300353356890459,1.5184286307106118,1.0,0.010603243187634222,1.3850651473404005,0.36267429074114804,0.08246289169873557,0.27801230005664496,0.30950165360964754
"frozenset({'acousticness_discretize=low_acousticness', 'duration_ms_descretize=medium_duration', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'speechiness_discretize=low_speechiness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.06190476190476191,0.3490683229813665,0.031055900621118012,0.5016722408026756,1.4371749247194086,1.0,0.00944690919846199,1.3062320230105464,0.32426395939086283,0.08174386920980926,0.23443922489724014,0.2953201061664623
"frozenset({'acousticness_discretize=low_acousticness', 'duration_ms_descretize=medium_duration', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'mode_discretize=major', 'speechiness_discretize=low_speechiness', 'instrumentalness_discretize=low_instrumentalness', 'tempo_discretize=fast_tempo'})",frozenset({'popularity_label=high'}),0.0567287784679089,0.3490683229813665,0.03064182194616977,0.5401459854014599,1.5473933033742888,1.0,0.01083960238159536,1.4155180912944887,0.3750266948247633,0.08167770419426047,0.29354488215300606,0.3139638586556528
